Product_ID,Material_Name,Supplier,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Source_URL
5AC07527,Aldehyde C-10 Decanal 10% in DPG from PerfumersWorld,PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",,0.08,,TRUE,Aldehyde C-10 Decanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5AC07527
5AC08459,Aldehyde C-10 Decanal 50% in DPG from PerfumersWorld,PerfumersWorld,"67634-00-8|0.5
25265-71-8|0.5",,0.12,,TRUE,Aldehyde C-10 Decanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.5,https://www.perfumersworld.com/view.php?pro_id=5AC08459
4AR00020,Aldehyde C-11 Undecanal from PerfumersWorld,PerfumersWorld,112-44-7,,0.41,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4AR00020
5AR08831,Aldehyde C-11 Undecanal 10% in DPG from PerfumersWorld,PerfumersWorld,"112-44-7|0.1
25265-71-8|0.9",,0.11,,TRUE,Aldehyde C-11 Undecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5AR08831
4AR01236,Aldehyde C-11 Undecylenic from PerfumersWorld,PerfumersWorld,112-45-8,,0.30,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4AR01236
5AR08462,Aldehyde C-11 Undecylenic 10% in DPG from PerfumersWorld,PerfumersWorld,"112-45-8|0.1
25265-71-8|0.9",,0.07,,TRUE,Aldehyde C-11 Undecylenic from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5AR08462
4AA00021,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,PerfumersWorld,112-54-9,,0.25,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4AA00021
5AA07834,Aldehyde C-12 Lauric Dodecanal 10% in DPG from PerfumersWorld,PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",,0.06,,TRUE,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5AA07834
4AG00022,Aldehyde C-12 MNA from PerfumersWorld,PerfumersWorld,110-41-8,,0.28,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4AG00022
5AG07528,Aldehyde C-12 MNA 10% in DPG from PerfumersWorld,PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",,0.06,,TRUE,Aldehyde C-12 MNA from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5AG07528
4DD00454,Aldehyde C-14 Gamma Undecalactone from PerfumersWorld,PerfumersWorld,104-67-6,,0.17,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4DD00454
